,EEG
1277,-753.664
1278,-737.28
1279,-737.28
1280,-688.128
1281,-819.2
1282,-983.04
1283,-1015.808
1284,-868.352
1285,-704.512
1286,-638.976
1287,-704.512
1288,-737.28
1289,-786.432
1290,-737.28
1291,-737.28
1292,-737.28
1293,-737.28
1294,-753.664
1295,-737.28
1296,-737.28
1297,-737.28
1298,-737.28
1299,-753.664
1300,-770.048
1301,-737.28
1302,-770.048
1303,-737.28
1304,-737.28
1305,-737.28
1306,-720.896
1307,-753.664
1308,-720.896
1309,-737.28
1310,-753.664
1311,-688.128
1312,-720.896
1313,-704.512
1314,-737.28
1315,-770.048
1316,-737.28
1317,-753.664
1318,-753.664
1319,-737.28
1320,-770.048
1321,-704.512
1322,-753.664
1323,-737.28
1324,-737.28
1325,-786.432
1326,-737.28
1327,-720.896
1328,-737.28
1329,-720.896
1330,-802.816
1331,-770.048
1332,-753.664
1333,-737.28
1334,-688.128
1335,-753.664
1336,-737.28
1337,-753.664
1338,-753.664
1339,-720.896
1340,-753.664
1341,-720.896
1342,-770.048
1343,-786.432
1344,-737.28
1345,-753.664
1346,-786.432
1347,-770.048
1348,-802.816
1349,-737.28
1350,-720.896
1351,-720.896
1352,-720.896
1353,-786.432
1354,-770.048
1355,-802.816
1356,-753.664
1357,-704.512
1358,-720.896
1359,-720.896
1360,-737.28
1361,-737.28
1362,-720.896
1363,-737.28
1364,-720.896
1365,-704.512
1366,-753.664
1367,-720.896
1368,-753.664
1369,-753.664
1370,-753.664
1371,-786.432
1372,-770.048
1373,-753.664
1374,-720.896
1375,-688.128
1376,-704.512
1377,-737.28
1378,-753.664
1379,-786.432
1380,-704.512
1381,-688.128
1382,-655.36
1383,-753.664
1384,-933.888
1385,-1032.192
1386,-917.504
1387,-770.048
1388,-622.592
1389,-655.36
1390,-704.512
1391,-720.896
1392,-720.896
1393,-737.28
1394,-737.28
1395,-737.28
1396,-720.896
1397,-737.28
1398,-720.896
1399,-737.28
1400,-704.512
1401,-720.896
1402,-737.28
1403,-737.28
1404,-753.664
1405,-737.28
1406,-720.896
1407,-737.28
1408,-688.128
1409,-688.128
1410,-688.128
1411,-671.744
1412,-720.896
1413,-720.896
1414,-737.28
1415,-753.664
1416,-720.896
1417,-770.048
1418,-770.048
1419,-770.048
1420,-786.432
1421,-786.432
1422,-802.816
1423,-786.432
1424,-770.048
1425,-786.432
1426,-737.28
1427,-770.048
1428,-753.664
1429,-753.664
1430,-770.048
1431,-753.664
1432,-786.432
1433,-770.048
1434,-737.28
1435,-753.664
1436,-737.28
1437,-770.048
1438,-786.432
1439,-770.048
1440,-786.432
1441,-753.664
1442,-753.664
1443,-770.048
1444,-770.048
1445,-786.432
1446,-770.048
1447,-737.28
1448,-753.664
1449,-720.896
1450,-737.28
1451,-737.28
1452,-737.28
1453,-753.664
1454,-753.664
1455,-737.28
1456,-737.28
1457,-737.28
1458,-753.664
1459,-753.664
1460,-753.664
1461,-737.28
1462,-720.896
1463,-753.664
1464,-753.664
1465,-786.432
1466,-786.432
1467,-737.28
1468,-770.048
1469,-753.664
1470,-737.28
1471,-753.664
1472,-753.664
1473,-737.28
1474,-753.664
1475,-720.896
1476,-704.512
1477,-671.744
1478,-835.584
1479,-999.424
1480,-1064.96
1481,-901.12
1482,-704.512
1483,-622.592
1484,-704.512
1485,-704.512
1486,-720.896
1487,-737.28
1488,-753.664
1489,-770.048
1490,-770.048
1491,-753.664
1492,-753.664
1493,-737.28
1494,-737.28
1495,-737.28
1496,-720.896
1497,-737.28
1498,-753.664
1499,-737.28
1500,-720.896
1501,-720.896
1502,-720.896
1503,-753.664
1504,-737.28
1505,-720.896
1506,-753.664
1507,-737.28
1508,-753.664
1509,-737.28
1510,-720.896
1511,-720.896
1512,-770.048
1513,-753.664
1514,-802.816
1515,-819.2
1516,-819.2
1517,-770.048
1518,-737.28
1519,-737.28
1520,-770.048
1521,-786.432
1522,-802.816
1523,-770.048
1524,-753.664
1525,-720.896
1526,-737.28
1527,-770.048
1528,-753.664
1529,-753.664
1530,-770.048
1531,-753.664
1532,-753.664
1533,-753.664
1534,-737.28
1535,-737.28
1536,-770.048
1537,-770.048
1538,-786.432
1539,-786.432
1540,-770.048
1541,-753.664
1542,-753.664
1543,-786.432
1544,-770.048
1545,-770.048
1546,-770.048
1547,-753.664
1548,-770.048
1549,-737.28
1550,-720.896
1551,-720.896
1552,-737.28
1553,-753.664
1554,-786.432
1555,-819.2
1556,-802.816
1557,-770.048
1558,-786.432
1559,-737.28
1560,-753.664
1561,-753.664
1562,-753.664
1563,-737.28
1564,-835.584
1565,-999.424
1566,-1064.96
1567,-933.888
1568,-720.896
1569,-622.592
1570,-688.128
1571,-720.896
1572,-737.28
1573,-720.896
1574,-753.664
1575,-737.28
1576,-753.664
1577,-737.28
1578,-753.664
1579,-720.896
1580,-737.28
1581,-720.896
1582,-737.28
1583,-753.664
1584,-737.28
1585,-737.28
1586,-737.28
1587,-737.28
1588,-720.896
1589,-737.28
1590,-704.512
1591,-720.896
1592,-704.512
1593,-704.512
1594,-737.28
1595,-770.048
1596,-802.816
1597,-802.816
1598,-753.664
1599,-720.896
1600,-720.896
1601,-753.664
1602,-770.048
1603,-786.432
1604,-786.432
1605,-753.664
1606,-737.28
1607,-737.28
1608,-770.048
1609,-770.048
1610,-753.664
1611,-737.28
1612,-737.28
1613,-737.28
1614,-737.28
1615,-753.664
1616,-737.28
1617,-770.048
1618,-770.048
1619,-753.664
1620,-770.048
1621,-753.664
1622,-720.896
1623,-737.28
1624,-737.28
1625,-737.28
1626,-770.048
1627,-786.432
1628,-737.28
1629,-737.28
1630,-753.664
1631,-770.048
1632,-770.048
1633,-770.048
1634,-753.664
1635,-753.664
1636,-753.664
1637,-753.664
1638,-737.28
1639,-786.432
1640,-786.432
1641,-770.048
1642,-753.664
1643,-671.744
1644,-688.128
1645,-884.736
1646,-1032.192
1647,-1081.344
1648,-884.736
1649,-688.128
1650,-606.208
1651,-671.744
1652,-688.128
1653,-704.512
1654,-704.512
1655,-704.512
1656,-737.28
1657,-720.896
1658,-737.28
1659,-720.896
1660,-737.28
1661,-720.896
1662,-737.28
1663,-737.28
1664,-753.664
1665,-753.664
1666,-720.896
1667,-720.896
1668,-704.512
1669,-704.512
1670,-688.128
1671,-704.512
1672,-688.128
1673,-704.512
1674,-720.896
1675,-737.28
1676,-737.28
1677,-737.28
1678,-753.664
1679,-770.048
1680,-802.816
1681,-819.2
1682,-802.816
1683,-802.816
1684,-802.816
1685,-786.432
1686,-786.432
1687,-753.664
1688,-737.28
1689,-737.28
1690,-802.816
1691,-802.816
1692,-802.816
1693,-786.432
1694,-802.816
1695,-770.048
1696,-802.816
1697,-786.432
1698,-786.432
1699,-770.048
1700,-802.816
1701,-786.432
1702,-786.432
1703,-786.432
1704,-786.432
1705,-786.432
1706,-770.048
1707,-770.048
1708,-753.664
1709,-753.664
1710,-786.432
1711,-786.432
1712,-802.816
1713,-786.432
1714,-786.432
1715,-786.432
1716,-802.816
1717,-802.816
1718,-786.432
1719,-786.432
1720,-753.664
1721,-720.896
1722,-851.968
1723,-1015.808
1724,-1097.728
1725,-950.272
1726,-737.28
1727,-638.976
1728,-720.896
1729,-753.664
1730,-753.664
1731,-770.048
1732,-770.048
1733,-770.048
1734,-753.664
1735,-786.432
1736,-802.816
1737,-786.432
1738,-802.816
1739,-802.816
1740,-802.816
1741,-770.048
1742,-753.664
1743,-753.664
1744,-786.432
1745,-786.432
1746,-802.816
1747,-753.664
1748,-737.28
1749,-753.664
1750,-753.664
1751,-753.664
1752,-786.432
1753,-786.432
1754,-819.2
1755,-819.2
1756,-802.816
1757,-819.2
1758,-819.2
1759,-819.2
1760,-851.968
1761,-835.584
1762,-835.584
1763,-819.2
1764,-786.432
1765,-835.584
1766,-819.2
1767,-835.584
1768,-819.2
1769,-802.816
1770,-835.584
1771,-802.816
1772,-786.432
1773,-802.816
1774,-802.816
1775,-851.968
1776,-835.584
1777,-851.968
1778,-868.352
1779,-819.2
1780,-851.968
1781,-868.352
1782,-851.968
1783,-868.352
1784,-835.584
1785,-835.584
1786,-868.352
1787,-851.968
1788,-868.352
1789,-868.352
1790,-835.584
1791,-851.968
1792,-835.584
1793,-851.968
1794,-851.968
1795,-819.2
1796,-802.816
1797,-917.504
1798,-1064.96
1799,-1146.88
1800,-1015.808
1801,-819.2
1802,-753.664
1803,-786.432
1804,-819.2
1805,-819.2
1806,-819.2
1807,-770.048
1808,-802.816
1809,-835.584
1810,-868.352
1811,-884.736
1812,-835.584
1813,-786.432
1814,-835.584
1815,-819.2
1816,-835.584
1817,-835.584
1818,-819.2
1819,-819.2
1820,-802.816
1821,-802.816
1822,-835.584
1823,-819.2
1824,-835.584
1825,-819.2
1826,-802.816
1827,-819.2
1828,-786.432
1829,-851.968
1830,-835.584
1831,-835.584
1832,-868.352
1833,-835.584
1834,-868.352
1835,-868.352
1836,-819.2
1837,-851.968
1838,-835.584
1839,-851.968
1840,-868.352
1841,-851.968
1842,-868.352
1843,-835.584
1844,-851.968
1845,-851.968
1846,-802.816
1847,-835.584
1848,-851.968
1849,-851.968
1850,-851.968
1851,-802.816
1852,-835.584
1853,-851.968
1854,-851.968
1855,-851.968
1856,-835.584
1857,-851.968
1858,-868.352
1859,-851.968
1860,-868.352
1861,-851.968
1862,-868.352
1863,-884.736
1864,-819.2
1865,-835.584
1866,-802.816
